userId,movieId,ts,uid,iid
1,2294,2001-01-06 23:38:11,0,1298
1,2355,2001-01-06 23:38:11,0,1337
1,1566,2001-01-06 23:38:50,0,895
3,3552,2000-12-31 21:34:19,1,2014
3,104,2000-12-31 21:34:46,1,73
4,1214,2000-12-31 20:24:20,2,683
4,3418,2000-12-31 20:24:20,2,1934
4,1036,2000-12-31 20:24:42,2,585
6,3565,2000-12-31 04:51:28,3,2022
6,3717,2000-12-31 04:52:51,3,2097
6,920,2000-12-31 05:00:51,3,500
7,380,2000-12-31 03:54:34,4,239
7,861,2000-12-31 03:54:34,4,468
7,1573,2000-12-31 03:54:34,4,898
8,1274,2000-12-31 03:31:02,5,739
8,3213,2000-12-31 03:31:02,5,1841
8,1,2000-12-31 03:31:36,5,0
9,1356,2000-12-31 01:37:24,6,793
9,2278,2000-12-31 01:37:45,6,1288
10,923,2001-01-27 23:36:15,7,503
10,1283,2001-01-27 23:36:54,7,748
10,1221,2001-01-27 23:37:13,7,690
12,3658,2000-12-30 23:50:16,8,2068
12,923,2000-12-30 23:50:37,8,503
12,1252,2000-12-30 23:50:37,8,717
13,2,2000-12-30 18:56:03,9,1
13,2054,2000-12-30 18:56:03,9,1156
14,296,2000-12-30 18:34:04,10,180
14,1263,2000-12-30 18:34:40,10,728
15,733,2000-12-30 21:44:58,11,413
15,2115,2000-12-30 21:45:20,11,1198
15,2640,2000-12-30 21:45:20,11,1500
16,2394,2000-12-30 11:12:00,12,1362
16,2485,2000-12-30 11:12:35,12,1419
17,316,2000-12-30 07:24:28,13,194
17,164,2000-12-30 07:26:06,13,106
17,707,2000-12-30 07:26:06,13,402
18,26,2000-12-30 06:22:15,14,22
18,838,2000-12-30 06:22:15,14,456
18,266,2000-12-30 06:23:32,14,165
19,1275,2001-02-25 18:02:38,15,740
19,3889,2001-02-25 18:02:38,15,2195
20,3753,2001-12-29 23:38:36,16,2121
20,1240,2001-12-29 23:39:41,16,706
20,1527,2001-12-29 23:39:41,16,883
22,2011,2001-05-29 15:15:52,17,1125
22,1034,2001-05-29 15:17:52,17,583
24,1635,2001-04-01 20:29:55,18,936
24,425,2001-04-01 20:31:10,18,257
24,2757,2001-04-01 20:31:30,18,1575
27,926,2000-12-29 22:46:58,19,506
27,1198,2000-12-29 22:48:12,19,667
27,1204,2000-12-29 22:48:12,19,673
28,916,2001-01-08 20:20:38,20,496
28,527,2001-01-08 20:21:20,20,318
28,912,2001-01-08 20:21:34,20,492
29,494,2000-12-30 00:32:22,21,299
29,2617,2000-12-30 00:32:22,21,1490
30,589,2000-12-29 20:35:10,22,353
30,1265,2000-12-29 20:35:10,22,730
30,1216,2000-12-29 20:36:06,22,685
34,2888,2000-12-29 15:43:50,23,1644
34,1888,2000-12-29 15:44:03,23,1041
35,3703,2000-12-29 15:45:42,24,2088
35,2947,2000-12-29 15:45:57,24,1679
35,910,2000-12-29 15:48:51,24,490
36,247,2002-12-22 08:17:48,25,154
36,595,2002-12-22 08:18:29,25,358
36,1266,2002-12-22 08:18:29,25,731
37,587,2000-12-29 02:35:16,26,351
37,597,2000-12-29 02:35:16,26,360
38,2082,2000-12-28 23:33:27,27,1172
38,455,2000-12-28 23:34:25,27,276
38,1380,2000-12-28 23:36:22,27,811
39,2763,2000-12-28 22:59:40,28,1579
39,3114,2000-12-28 22:59:40,28,1780
39,3745,2000-12-28 22:59:40,28,2115
41,2546,2000-12-28 22:01:01,29,1454
41,3578,2000-12-28 22:02:52,29,2029
41,2719,2000-12-28 22:04:29,29,1550
42,2003,2000-12-28 22:19:20,30,1119
42,2144,2000-12-28 22:19:20,30,1223
42,3087,2000-12-28 22:19:20,30,1763
43,2961,2000-12-28 18:03:11,31,1688
43,2763,2000-12-28 18:03:25,31,1579
43,3114,2000-12-28 18:03:25,31,1780
44,249,2001-10-30 03:20:09,32,156
44,920,2001-10-30 03:20:24,32,500
44,151,2001-10-30 03:20:54,32,94
47,1213,2000-12-28 04:45:08,33,682
47,249,2000-12-28 04:45:39,33,156
47,17,2000-12-28 04:46:14,33,14
49,3362,2001-01-06 20:45:39,34,1911
49,296,2001-01-06 20:46:12,34,180
49,1193,2001-01-06 20:46:12,34,664
50,2135,2000-12-27 23:54:18,35,1214
50,1544,2000-12-27 23:55:07,35,887
51,1517,2000-12-27 20:12:38,36,880
51,39,2000-12-27 20:13:04,36,31
51,348,2000-12-27 20:13:04,36,217
52,3785,2000-12-27 20:13:23,37,2136
52,3861,2000-12-27 20:13:23,37,2180
53,184,2000-12-28 07:34:16,38,117
53,1726,2000-12-28 07:35:15,38,978
54,3037,2000-12-27 19:20:16,39,1734
54,34,2000-12-27 19:20:59,39,27
54,1079,2000-12-27 19:20:59,39,604
55,589,2000-12-27 20:19:06,40,353
55,457,2000-12-27 20:19:54,40,278
55,1784,2000-12-27 20:19:54,40,1001
56,440,2000-12-27 17:58:17,41,266
56,2321,2000-12-27 17:58:17,41,1313
56,2706,2000-12-27 17:58:17,41,1539
57,1196,2000-12-27 16:54:59,42,665
57,1090,2000-12-27 16:55:32,42,614
57,1242,2000-12-27 16:55:32,42,707
59,953,2003-01-07 19:38:02,43,531
59,965,2003-01-07 19:38:02,43,539
60,1754,2000-12-27 15:52:32,44,991
60,113,2000-12-27 15:53:10,44,79
62,932,2000-12-28 02:25:28,45,512
62,934,2000-12-28 02:25:28,45,514
62,3516,2000-12-28 02:26:06,45,1993
63,1225,2001-01-21 21:08:18,46,694
63,3007,2001-01-21 21:09:03,46,1717
63,1094,2001-01-21 21:09:35,46,618
64,1754,2000-12-27 04:51:13,47,991
64,3555,2000-12-27 04:51:38,47,2017
65,1210,2002-05-27 02:58:30,48,679
65,2628,2002-05-27 02:58:30,48,1494
66,1272,2000-12-27 03:09:39,49,737
66,2694,2000-12-27 03:10:57,49,1532
67,1287,2000-12-27 03:14:55,50,752
67,909,2000-12-27 03:16:59,50,489
67,994,2000-12-27 03:16:59,50,554
68,1270,2001-06-01 06:15:09,51,735
68,3608,2001-06-01 06:15:22,51,2045
68,1517,2001-06-01 06:16:15,51,880
69,321,2000-12-27 01:58:46,52,199
69,446,2000-12-27 01:59:25,52,269
70,3157,2000-12-27 00:51:27,53,1806
70,3176,2000-12-27 00:51:27,53,1816
70,2987,2000-12-27 00:52:02,53,1704
71,1093,2000-12-27 00:13:24,54,617
71,2605,2000-12-27 00:13:51,54,1482
