userId,movieId,rating,timestamp
1,48,5,978824351
1,1566,4,978824330
1,1907,4,978824330
1,2355,5,978824291
1,2294,4,978824291
2,1687,3,978300174
2,434,2,978300174
2,1544,4,978300174
2,1917,3,978300174
2,95,2,978300143
3,2081,4,978298504
3,104,4,978298486
3,3868,3,978298486
3,3552,5,978298459
3,1641,2,978298430
4,2951,4,978294282
4,1036,4,978294282
4,1954,5,978294282
4,1214,4,978294260
4,3418,4,978294260
5,288,2,978246585
5,1485,3,978246576
5,3105,2,978246576
5,1884,3,978246576
5,2029,4,978246555
6,597,5,978239019
6,1569,4,978238948
6,920,4,978238851
6,3717,4,978238371
6,3565,4,978238288
7,3107,3,978234898
7,861,4,978234874
7,2353,5,978234874
7,380,5,978234874
7,1573,4,978234874
8,3257,3,978247143
8,741,5,978233526
8,1,4,978233496
8,3213,3,978233462
8,1274,5,978233462
9,367,3,978226678
9,2294,4,978226678
9,861,2,978226665
9,2278,4,978226665
9,1356,3,978226644
10,2252,5,980638688
10,2693,5,980638633
10,1221,3,980638633
10,1283,3,980638614
10,923,3,980638575
11,3182,1,978909052
11,2076,4,978908976
11,3146,3,978904939
11,2907,2,978904916
11,2306,1,978904849
12,3362,3,978220273
12,1252,3,978220237
12,2804,5,978220237
12,923,5,978220237
12,3658,4,978220216
13,2822,3,978202577
13,2054,3,978202563
13,2,3,978202563
13,2641,3,978202563
13,1009,2,978202563
14,2731,4,978201317
14,1225,4,978201317
14,1263,5,978201280
14,296,5,978201244
14,608,1,978201244
15,3510,5,978361393
15,3755,3,978212752
15,2640,3,978212720
15,2115,4,978212720
15,733,3,978212698
16,2987,3,978174795
16,2701,2,978174795
16,2485,3,978174755
16,2724,4,978174755
16,2394,5,978174720
17,164,4,978161166
17,1601,3,978161166
17,1617,5,978161166
17,707,4,978161166
17,316,4,978161068
18,1683,5,978157434
18,266,3,978157412
18,454,3,978157412
18,838,4,978157335
18,26,4,978157335
19,1234,5,994556636
19,318,4,994556598
19,1431,2,983124187
19,3889,3,983124158
19,1275,5,983124158
20,1371,4,1009669227
20,3527,4,1009669181
20,1527,5,1009669181
20,1240,4,1009669181
20,3753,5,1009669116
21,2800,4,978139540
21,596,1,978139446
21,2294,3,978139446
21,2394,1,978139446
21,588,3,978139423
22,910,4,991149892
22,908,4,991149661
22,3896,2,991149493
22,1034,4,991149472
22,2011,4,991149352
23,2643,1,993707035
23,2119,3,993707016
23,2642,1,993706986
23,2149,3,993706986
23,327,2,993706949
24,2657,4,986157459
24,1959,5,986157437
24,2757,4,986157090
24,425,4,986157070
24,1635,4,986156995
25,3798,2,978386265
25,3745,4,978386228
25,3174,4,978386112
25,3175,3,978386056
25,2804,2,978386028
26,2683,1,978385333
26,1784,5,978384872
26,2262,5,978384764
26,185,3,978276085
26,3247,2,978276085
27,1254,5,978130092
27,1262,5,978130092
27,1198,5,978130092
27,1204,5,978130092
27,926,5,978130018
28,2132,5,978985335
28,1,3,978985309
28,912,5,978985294
28,527,5,978985280
28,916,4,978985238
29,2550,3,978136554
29,3633,4,978136342
29,494,3,978136342
29,2617,3,978136342
29,3366,2,978136307
30,3949,4,978122183
30,3554,4,978122183
30,1216,4,978122166
30,589,4,978122110
30,1265,4,978122110
31,3450,3,978121885
31,1958,3,978121885
31,1485,2,978121885
31,3524,4,978121851
31,3525,2,978121815
32,3286,1,978126476
32,1834,3,978123925
32,2707,2,978123912
32,2916,3,978123912
32,1343,3,978123879
33,2124,3,978985788
33,230,3,978985788
33,2746,2,978985788
33,3398,1,978985733
33,1339,5,978985700
34,3257,4,978104692
34,2485,5,978104678
34,1888,3,978104643
34,2888,5,978104630
34,236,1,978104619
35,1162,3,978210919
35,910,4,978104931
35,3088,5,978104931
35,2947,3,978104757
35,3703,4,978104742
36,3639,4,1040545125
36,1266,5,1040545109
36,595,4,1040545109
36,1295,4,1040545109
36,247,4,1040545068
37,788,1,978057358
37,1088,5,978057358
37,1380,5,978057331
37,587,5,978057316
37,597,5,978057316
38,296,3,978047091
38,3948,4,978046603
38,1380,4,978046582
38,455,3,978046465
38,2082,4,978046407
39,3793,4,978044402
39,86,4,978044402
39,3114,5,978044380
